reference,n_points,n_distinct_I_levels,I_min,I_max,pH_span,sufficient_for_local_I_derivative
d01,555,10,0.052,32.5,7.505699999999999,True
wdpwx94,127,4,0.052,6.5,6.478860000000001,True
jdb07,111,2,0.13,1.3,7.605089999999999,False
hl85,78,3,1.3,1.38,6.790699999999999,True
gdb09,62,2,0.13,0.146,5.944999999999999,False
wkm03,33,2,0.01,0.09,6.77421,False
fdz06,29,4,0.065,0.19,1.83997,True
akbn96,24,1,1.3,1.3,2.40075,False
usbr08,10,1,0.13,0.13,3.5295999999999994,False
