reference,n_points,n_distinct_I_levels,I_min,I_max,pH_span,sufficient_for_local_I_derivative
pt97,232,1,1.3,1.3,7.336499999999999,False
bb05,196,3,0.25,2.5,9.01767,True
hchk01,158,3,0.013,1.3,6.805199999999999,True
ptbp98,134,1,1.3,1.3,7.3391,False
mbdsb12,132,4,2.5,2.54,7.087610000000001,True
kdse04,100,2,2.5,12.5,6.3964,False
bm11,66,3,0.001,0.025,5.0195799999999995,True
mzst95,48,3,0.025,2.5,3.9943300000000006,True
