system,verdict,reason,n_points,pH_span,n_distinct_I_levels,I_levels_list,joint_coverage_fraction,n_refs_total,n_refs_with_sufficient_I_variation,pct_points_in_I_varying_refs,site_density_status,n_references,temp_range_C,pH_min,pH_max,I_min,I_max,n_rows_total,missing_response,missing_pH,missing_I,invalid_response_values,n_sets,median_replicates_per_set,site_density_mean,site_density_cv,n_distinct_formulas,initial_bandwidth_pH_scaled,initial_bandwidth_I_scaled,n_points_in_I_varying_refs
calcite-Cl(+7)+Na(+1)-Zn(+2),FAIL,"only 44 points (< 50); pH span only 2.13; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",44,2.1315999999999997,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,7.1239,9.2555,2.5,2.5,44,0,0,0,0,3,14.0,10.8,0.0,1,0.0,0.0,0
goethite-Ca(+2)+Cl(-1)+K(+1)+Mg(+2)+Na(+1)+S(+6)-Zn(+2),FAIL,"only 44 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",44,4.766,1,1.114,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.9098,8.6758,1.114,1.114,44,0,0,0,0,5,9.0,2.3100000000000005,1.944689868912345e-16,1,0.0066,0.0066,0
hematite-Cl(+7)+Humic acid+Na(+1)-U(+6),FAIL,"only 44 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",44,6.324999999999999,1,2.5,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,3.0318,9.3568,2.5,2.5,44,0,0,0,0,3,14.0,2.3100000000000005,1.944689868912345e-16,1,0.0056,0.0056,0
kaolinite-N(+5)+Na(+1)+S(+6)-U(+6),FAIL,"only 44 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",44,7.5613,1,1.48,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.4059,9.9672,1.48,1.48,44,0,0,0,3,2,22.0,2.3100000000000005,1.944689868912345e-16,0,0.0056,0.0056,0
birnessite-N(+5)+Na(+1)-Cu(+2),FAIL,"only 41 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",41,6.884699999999999,1,0.13,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.0013,8.886,0.13,0.13,41,0,0,0,0,2,20.5,2.31,0.0,1,0.0094,0.0094,0
goethite-Cl(+7)+Na(+1)-Humic acid,FAIL,"only 41 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",41,7.8598,1,1.25,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.0574,9.9172,1.25,1.25,41,0,0,0,0,3,14.0,2.31,0.0,1,0.0084,0.0084,0
boehmite-Cl(+7)+Na(+1)-Humic acid,FAIL,"only 39 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",39,10.1037,1,1.25,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,1.6761,11.7798,1.25,1.25,39,0,0,0,0,3,13.0,2.3100000000000005,1.9475954283825384e-16,1,0.0111,0.0111,0
goethite-K(+1)+N(+5)-U(+6),FAIL,"only 39 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",39,6.405999999999999,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.743,9.149,1.3,1.3,39,0,0,0,1,4,9.5,2.3100000000000005,1.9475954283825384e-16,1,0.0107,0.0107,0
hematite-N(+5)+Na(+1)-Np(+5),FAIL,"only 39 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",39,7.3831,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.4988,10.8819,1.3,1.3,39,0,0,0,0,2,19.5,2.3100000000000005,1.9475954283825384e-16,1,0.0141,0.0141,0
montmorillonite-Ca(+2)+Cl(+7)-Am(+3),FAIL,"only 39 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",39,6.5781600000000005,1,3.366,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,2.67666,9.25482,3.366,3.366,39,0,0,0,0,2,19.5,2.3100000000000005,1.9475954283825384e-16,0,0.0022,0.0022,0
goethite-Cl(+7)+Na(+1)-Pu(+5),FAIL,"only 38 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",38,6.7956199999999995,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,1.65511,8.45073,2.5,2.5,38,0,0,0,0,4,9.5,2.3100000000000005,1.9482701539972312e-16,1,0.0027,0.0027,0
calcite-Cl(-1)+Na(+1)-Eu(+3),FAIL,"only 37 points (< 50); pH span only 2.92; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",37,2.924599999999999,1,0.1,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,6.8669,9.7915,0.1,0.1,37,0,0,0,0,5,9.0,10.800000000000002,1.6674624727072242e-16,1,0.003,0.003,0
calcite-Cl(-1)+Na(+1)-Sm(+3),FAIL,"only 37 points (< 50); pH span only 2.84; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",37,2.8358,1,0.1,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,6.9609,9.7967,0.1,0.1,37,0,0,0,0,5,9.0,10.800000000000002,1.6674624727072242e-16,1,0.0037,0.0037,0
ferrihydrite-K(+1)+N(+5)-Ni(+2),FAIL,"only 37 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",37,7.127500000000001,1,0.013,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.9705,11.098,0.013,0.013,37,0,0,0,1,1,37.0,2.3100000000000005,1.9489821109564958e-16,1,0.0118,0.0118,0
goethite-N(+5)+Na(+1)-Np(+5),FAIL,"only 37 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",37,6.4709,1,1.3,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,4.1464,10.6173,1.3,1.3,37,0,0,0,1,2,18.5,2.3100000000000005,1.9489821109564958e-16,1,0.0051,0.0051,0
manganite-Cl(+7)+Na(+1)-Pu(+6),FAIL,"only 37 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",37,7.432449999999999,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.99465,10.4271,2.5,2.5,37,0,0,0,0,4,9.5,2.3100000000000005,1.9489821109564958e-16,1,0.0019,0.0019,0
goethite-N(+5)+Na(+1)-Cd(+2),FAIL,"only 36 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",36,4.106699999999999,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,5.5354,9.6421,1.3,1.3,36,0,0,0,0,4,7.5,2.3100000000000005,1.9497344684873008e-16,1,0.0058,0.0058,0
hematite-Cl(+7)+Na(+1)-Th(+4),FAIL,"only 36 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",36,7.432800000000001,1,2.5,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,0.983,8.4158,2.5,2.5,36,0,0,0,1,2,18.0,2.3100000000000005,1.9497344684873008e-16,1,0.0089,0.0089,0
illite-Cl(+7)+Na(+1)-Cm(+3),FAIL,"only 36 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",36,8.71517,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.00653,11.7217,2.5,2.5,36,0,0,0,0,1,36.0,2.3100000000000005,1.9497344684873008e-16,1,0.0138,0.0138,0
kaolinite-N(+5)+Na(+1)+P(+5)-U(+6),FAIL,"only 36 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",36,7.501900000000001,1,1.301,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.5238,10.0257,1.301,1.301,36,0,0,0,2,2,18.0,2.3100000000000005,1.9497344684873008e-16,0,0.0114,0.0114,0
goethite-Cl(+7)+K(+1)-Citric acid,FAIL,"only 35 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",35,5.13514,1,0.25,0.16666666666666666,1,0,0.0,"fixed, as expected",1,0.0,4.10135,9.23649,0.25,0.25,35,0,0,0,0,2,17.5,2.31,0.0,1,0.011,0.011,0
hematite-Cl(+7)+Na(+1)-Pu(+4),FAIL,"only 35 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",35,5.6619600000000005,1,2.5,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,1.36628,7.02824,2.5,2.5,35,0,0,0,0,3,7.0,2.31,0.0,1,0.0091,0.0091,0
illite-Cl(+7)+Na(+1)-Th(+4),FAIL,"only 35 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",35,8.27,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.63,10.9,2.5,2.5,35,0,0,0,0,1,35.0,2.31,0.0,0,0.0012,0.0012,0
kaolinite-Citrate(-3)+N(+5)+Na(+1)-U(+6),FAIL,"only 35 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",35,7.490699999999999,1,1.345,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.4296,9.9203,1.345,1.345,35,0,0,0,16,2,17.5,2.31,0.0,0,0.0042,0.0042,0
montmorillonite-K(+1)+N(+5)-Aminotriazole,FAIL,"only 35 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",35,5.31579,1,0.13,0.16666666666666666,1,0,0.0,"fixed, as expected",1,0.0,4.14035,9.45614,0.13,0.13,35,0,0,0,0,3,13.0,2.31,0.0,0,0.0116,0.0116,0
goethite-N(+5)+Na(+1)-Pb(+2),FAIL,"only 34 points (< 50); pH span only 2.71; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",34,2.705,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.6692,6.3742,1.3,1.3,34,0,0,0,0,4,8.0,2.31,0.0,1,0.0128,0.0128,0
kaolinite-N(+5)+Na(+1)+U(+6)-P(+5),FAIL,"only 34 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",34,7.488000000000001,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.5467,10.0347,1.3,1.3,34,0,0,0,1,2,17.0,2.31,0.0,0,0.0117,0.0117,0
goethite-N(+5)+Na(+1)-Cu(+2),FAIL,"only 33 points (< 50); pH span only 3.50; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",33,3.5048000000000004,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.1795,6.6843,1.3,1.3,33,0,0,0,0,3,13.0,2.31,0.0,1,0.012,0.012,0
calcite-Cl(+7)+Na(+1)-Cd(+2),FAIL,"only 32 points (< 50); pH span only 2.22; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",32,2.2248,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,7.1602,9.385,2.5,2.5,32,0,0,0,0,2,16.0,10.8,0.0,1,0.0003,0.0003,0
calcite-Cl(+7)+Na(+1)-Ni(+2),FAIL,"only 32 points (< 50); pH span only 2.16; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",32,2.158900000000001,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,7.1404,9.2993,2.5,2.5,32,0,0,0,0,2,16.0,10.8,0.0,1,0.0029,0.0029,0
ferrihydrite-N(+5)+Na(+1)+S(+6)-U(+6),FAIL,"only 32 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",32,7.014299999999999,1,1.48,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.9342,9.9485,1.48,1.48,32,0,0,0,1,2,16.0,2.31,0.0,1,0.0125,0.0125,0
goethite-Ca(+2)+Cl(-1)+K(+1)+Mg(+2)+Na(+1)+S(+6)-Pb(+2),FAIL,"only 32 points (< 50); pH span only 2.71; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",32,2.7099,1,1.114,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.8433,6.5532,1.114,1.114,32,0,0,0,0,4,8.0,2.31,0.0,1,0.0166,0.0166,0
calcite-Cl(+7)+Na(+1)-Co(+2),FAIL,"only 31 points (< 50); pH span only 2.11; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",31,2.1088000000000005,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,7.1867,9.2955,2.5,2.5,31,0,0,0,0,2,15.5,10.800000000000004,3.3439261087367136e-16,1,0.0016,0.0016,0
ferrihydrite-N(+5)+Na(+1)-Cd(+2),FAIL,"only 31 points (< 50); pH span only 3.12; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",31,3.1248999999999993,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,5.5849,8.7098,1.3,1.3,31,0,0,0,0,1,31.0,2.3100000000000005,1.954242531079898e-16,1,0.0222,0.0222,0
hematite-Cl(+7)+Na(+1)-Pu(+6),FAIL,"only 31 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",31,6.117946999999999,1,2.5,0.16666666666666666,2,0,0.0,"fixed, as expected",2,0.0,0.655313,6.77326,2.5,2.5,31,0,0,0,0,3,10.0,2.3100000000000005,1.954242531079898e-16,1,0.0114,0.0114,0
manganese dioxide-Cl(+7)+Na(+1)-Pu(+6),FAIL,"only 31 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",31,7.777329999999999,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.06362,9.84095,2.5,2.5,31,0,0,0,0,1,31.0,2.3100000000000005,1.954242531079898e-16,1,0.0123,0.0123,0
calcite-Cl(-1)+Na(+1)-Pu(+5),FAIL,"only 30 points (< 50); pH span only 2.26; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",30,2.2642999999999995,1,0.1,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,7.4891,9.7534,0.1,0.1,30,0,0,0,0,3,10.0,10.800000000000004,3.3457853950125627e-16,1,0.001,0.001,0
goethite-Ca(+2)+Cl(-1)+K(+1)+Mg(+2)+Na(+1)+S(+6)-Cu(+2),FAIL,"only 30 points (< 50); pH span only 3.48; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",30,3.4785000000000004,1,1.114,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.0176,6.4961,1.114,1.114,30,0,0,0,0,3,10.0,2.3100000000000005,1.955329126955394e-16,1,0.0142,0.0142,0
goethite-Cl(+7)+Na(+1)-Citric acid,FAIL,"only 30 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",30,6.53173,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,0.0,2.76844,9.30017,2.5,2.5,30,0,0,0,0,3,10.0,2.3100000000000005,1.955329126955394e-16,1,0.0021,0.0021,0
hematite-N(+5)+Na(+1)-Citric acid,FAIL,"only 30 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",30,6.493650000000001,1,0.13,0.16666666666666666,2,0,0.0,"fixed, as expected",2,0.0,3.00464,9.49829,0.13,0.13,30,0,0,0,0,3,10.0,2.3100000000000005,1.955329126955394e-16,1,0.006,0.006,0
illite-Cl(+7)+Na(+1)-Sn(+4),FAIL,"only 30 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",30,9.3114,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.0495,12.3609,2.5,2.5,30,0,0,0,0,3,10.0,2.3100000000000005,1.955329126955394e-16,0,0.0051,0.0051,0
calcite-Cl(+7)+Na(+1)-Mn(+2),FAIL,"only 29 points (< 50); pH span only 2.22; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",29,2.2196,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,6.9712,9.1908,2.5,2.5,29,0,0,0,0,2,14.5,10.800000000000004,3.3477763415707946e-16,1,0.0094,0.0094,0
calcite-Cl(-1)+Na(+1)-Pu(+4),FAIL,"only 29 points (< 50); pH span only 2.26; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",29,2.2569,1,0.1,0.16666666666666666,2,0,0.0,"fixed, as expected",2,,7.4857,9.7426,0.1,0.1,29,0,0,0,0,3,10.0,10.800000000000004,3.3477763415707946e-16,1,0.0019,0.0019,0
ferrihydrite-K(+1)+N(+5)-Zn(+2),FAIL,"only 29 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",29,7.306,1,0.013,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,4.0124,11.3184,0.013,0.013,29,0,0,0,0,1,29.0,2.3100000000000005,1.9564926671517633e-16,1,0.012,0.012,0
anatase-N(+5)+Na(+1)-U(+6),FAIL,"only 28 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",28,4.9648,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.0252,6.99,1.3,1.3,28,0,0,0,0,3,8.0,2.31,0.0,1,0.0022,0.0022,0
bentonite-C(+4)+Ca(+2)+Cl(-1)+K(+1)+Mg(+2)+Na(+1)+S(+6)-Cs(+1),FAIL,"only 28 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",28,6.299,1,0.089,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,4.1039,10.4029,0.089,0.089,28,0,0,0,0,1,28.0,2.31,0.0,0,0.0141,0.0141,0
ferrihydrite-Humic acid+N(+5)+Na(+1)-U(+6),FAIL,"only 28 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",28,6.7334,1,1.3,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.1761,9.9095,1.3,1.3,28,0,0,0,2,1,28.0,2.31,0.0,1,0.0193,0.0193,0
goethite-Ca(+2)+Cl(-1)+K(+1)+Mg(+2)+Na(+1)+S(+6)-Cd(+2),FAIL,"only 28 points (< 50); pH span only 3.72; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",28,3.7199,1,1.114,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,5.7328,9.4527,1.114,1.114,28,0,0,0,0,3,8.0,2.31,0.0,1,0.011,0.011,0
goethite-Cl(+7)+Na(+1)-Np(+5),FAIL,"only 28 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",28,5.498600000000001,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.2344,8.733,2.5,2.5,28,0,0,0,1,3,10.0,2.31,0.0,1,0.0056,0.0056,0
hematite-Cl(+7)+Na(+1)-COM,FAIL,"only 28 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",28,9.2415,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,0.9558,10.1973,2.5,2.5,28,0,0,0,0,1,28.0,2.31,0.0,1,0.0216,0.0216,0
montmorillonite-K(+1)+N(+5)-Citric acid,FAIL,"only 27 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",27,6.7386099999999995,1,0.13,0.16666666666666666,1,0,0.0,"fixed, as expected",1,0.0,2.35971,9.09832,0.13,0.13,27,0,0,0,0,2,13.5,2.31,0.0,0,0.0142,0.0142,0
silica-Cl(+7)+Na(+1)-Np(+5),FAIL,"only 27 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",27,4.0441,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,6.2234,10.2675,2.5,2.5,27,0,0,0,0,2,13.5,2.31,0.0,1,0.0068,0.0068,0
ferrihydrite-K(+1)+N(+5)-Cr(+3),FAIL,"only 26 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",26,7.4127,1,0.013,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.3288,10.7415,0.013,0.013,26,0,0,0,0,1,26.0,2.31,0.0,1,0.015,0.015,0
goethite-K(+1)+N(+5)+Pyromellitate(-4)-Cu(+2),FAIL,"only 25 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",25,6.6945,1,0.134,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.8523,9.5468,0.134,0.134,25,0,0,0,0,1,25.0,2.31,0.0,1,0.021,0.021,0
kaolinite-Cl(+7)+K(+1)-Ra(+2),FAIL,"only 25 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",25,8.251999999999999,1,1.25,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.396,10.648,1.25,1.25,25,0,0,0,0,1,25.0,2.31,0.0,1,0.0248,0.0248,0
magnetite-C(+4)+Ca(+2)+Cl(-1)+K(+1)+Mg(+2)+Na(+1)+S(+6)-Cs(+1),FAIL,"only 25 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",25,6.337199999999999,1,0.089,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,4.073,10.4102,0.089,0.089,25,0,0,0,0,1,25.0,2.31,0.0,1,0.0093,0.0093,0
alumina-Cl(+7)+Na(+1)-Pu,FAIL,"only 24 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",24,10.87,1,0.25,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.23,13.1,0.25,0.25,24,0,0,0,0,3,8.0,2.31,0.0,1,0.0101,0.0101,0
goethite-Cl(+7)+Na(+1)-Cr(+6),FAIL,"only 24 points (< 50); pH span only 3.69; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",24,3.6872999999999996,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,6.0637,9.751,2.5,2.5,24,0,0,0,0,3,8.0,2.31,0.0,1,0.0203,0.0203,0
goethite-Cl(-1)+Na(+1)-Oxalic acid,FAIL,"only 24 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",24,6.53234,1,0.1,0.16666666666666666,2,0,0.0,"fixed, as expected",2,0.0,2.688,9.22034,0.1,0.1,24,0,0,0,0,3,8.0,2.31,0.0,1,0.016,0.016,0
hausmannite-Cl(+7)+Na(+1)-Pu(+6),FAIL,"only 24 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",24,6.694819999999999,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,3.12807,9.82289,2.5,2.5,24,0,0,0,0,3,8.0,2.31,0.0,1,0.0004,0.0004,0
hydroxyapatite-Cl(+7)+Na(+1)-Pu(+6),FAIL,"only 24 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",24,5.00157,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,6.00463,11.0062,2.5,2.5,24,0,0,0,0,1,24.0,2.31,0.0,0,0.0,0.0,0
montmorillonite-Cl(+7)+Na(+1)-Co(+2),FAIL,"only 24 points (< 50); only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",24,8.27,1,2.5,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,2.65,10.92,2.5,2.5,24,0,0,0,0,1,24.0,2.31,0.0,0,0.0024,0.0024,0
Al(OH)3-N(+5)+Na(+1)-Ca(+2),FAIL,"only 23 points (< 50); pH span only 3.40; only 1 distinct ionic-strength levels; only 0% of points come from references that vary ionic strength internally - most 'I coverage' is pooled across studies with fixed I, not real within-study variation",23,3.3956999999999997,1,13,0.16666666666666666,1,0,0.0,"fixed, as expected",1,,6.6012,9.9969,13.0,13.0,23,0,0,0,1,1,23.0,2.310000000000001,3.9313418947998006e-16,1,0.025,0.025,0
